title,type,category,notes,link
Sinners,movie,horror,"ocsar winner, on max",
Dirty Harry,movie,action,"old movie, classic",
Superbad,movie,comedy,haven't watched fully,
Mulland Drive,movie,mystery,heard it was good,
Get Out,movie,horror,award winner,
No Country for Old Men,movie,drama,award winner,
Parasite,movie,horror,award winner,
The Social Network,movie,drama,worth a rewatch,
TMNT original,movie,action,want a rewatch,
Animatrix,movie,action,never watched it and liked the matrixs,
The Rocketeer,movie,action,want to rewatch,
Oblivion,movie,Scifi,,
The Naked Gun,movie,comedy,The new one,
Ken Burn's America,movie,documentary,,
Breaking Bad,show,drama,,
Andor,show,drama,"Star wars, want to rewatch",
The Penguim,show,action,,
The Last of Us,show,Scifi,,
